,item,support
0,不,16
1,"不,可以,问题,手机",6
2,"不,问题,手机",6
3,不准,9
4,不准确,16
5,"不准确,需要",5
6,不到,4
7,不够,11
8,不太好,5
9,不好,25
10,"不好,发现",8
11,"不好,地方",4
12,"不好,好",4
13,"不好,方面",5
14,"不好,没",5
15,不容易,6
16,不是,5
17,不知道,6
18,不能,12
19,不足,5
20,不错,7
21,东西,32
22,"东西,不容易",5
23,"东西,买",9
24,"东西,健康金",6
25,"东西,太少",4
26,"东西,就是",6
27,"东西,想",4
28,"东西,换",5
29,"东西,质量",4
30,丰富,5
31,买,9
32,产品,5
33,人,11
34,价格,7
35,使用,6
36,健康,19
37,"健康,价格",6
38,"健康,商城",9
39,"健康,商城,价格",6
40,"健康,看",4
41,"健康,看,直播",4
42,健康金,17
43,"健康金,不",4
44,免费,4
45,兑不上,4
46,兑换,65
47,"兑换,不",5
48,"兑换,不准确",6
49,"兑换,不到",5
50,"兑换,不够",5
51,"兑换,东西",10
52,"兑换,产品",4
53,"兑换,价格",4
54,"兑换,健康",4
55,"兑换,健康金",6
56,"兑换,可以",7
57,"兑换,商品",27
58,"兑换,商品,不准确",4
59,"兑换,商品,宝箱",4
60,"兑换,商品,少",8
61,"兑换,商品,少,数量",5
62,"兑换,商品,应该",7
63,"兑换,商品,很多",6
64,"兑换,商品,才能",8
65,"兑换,商品,数量",11
66,"兑换,商品,更新",4
67,"兑换,商品,没",8
68,"兑换,商城",5
69,"兑换,增加",5
70,"兑换,多",4
71,"兑换,太少",6
72,"兑换,夺宝",5
73,"兑换,宝箱",5
74,"兑换,少",19
75,"兑换,少,数量",4
76,"兑换,少,更新",4
77,"兑换,少,比较",4
78,"兑换,就是",6
79,"兑换,想",4
80,"兑换,数量",11
81,"兑换,数量,不够",4
82,"兑换,数量,增加",6
83,"兑换,更新",7
84,"兑换,步步夺金",11
85,"兑换,没",4
86,"兑换,没有",7
87,"兑换,没有,商品",5
88,"兑换,物品",4
89,"兑换,礼品",7
90,"兑换,能",4
91,"兑换,计步",5
92,"兑换,计步,不准确",5
93,"兑换,设置",4
94,全额,5
95,全额兑换,14
96,内容,12
97,"内容,直播",4
98,到,6
99,功能,4
100,医生,9
101,发现,22
102,"发现,建议",4
103,"发现,没",10
104,只能,4
105,可以,12
106,"可以,找",4
107,"可以,碎片,集",4
108,"可以,问题",4
109,"可以,问题,手机",6
110,"可以,问题,还是",4
111,"可以,页面,找",6
112,品种,4
113,商品,46
114,"商品,不准确",4
115,"商品,价格",4
116,"商品,健康",5
117,"商品,健康,价格",5
118,"商品,健康,商城",4
119,"商品,健康,商城,价格",5
120,"商品,健康金",7
121,"商品,全额兑换",11
122,"商品,可以,碎片,集",4
123,"商品,商城",6
124,"商品,多",4
125,"商品,宝箱",5
126,"商品,少",13
127,"商品,少,数量",5
128,"商品,应该",4
129,"商品,很多",5
130,"商品,才能",5
131,"商品,抢不到",7
132,"商品,数量",8
133,"商品,更新",7
134,"商品,步步夺金",6
135,"商品,没",6
136,"商品,碎片,集",4
137,商城,16
138,"商城,价格",4
139,"商城,增加,换购",9
140,"商城,数量,增加,换购",9
141,地方,6
142,增加,9
143,"增加,换购",9
144,多,22
145,大,6
146,太少,11
147,夺宝,8
148,夺金,6
149,奖品,9
150,好,14
151,好像,4
152,好医生,9
153,"好医生,平安",5
154,好的,4
155,如果,5
156,"如果,遇到",4
157,宝箱,15
158,"宝箱,不容易",5
159,"宝箱,增加",6
160,"宝箱,夺宝",4
161,"宝箱,数量,增加",6
162,"宝箱,碎片",5
163,实际,4
164,对,8
165,对换,4
166,少,34
167,"少,不能",4
168,"少,东西",6
169,"少,东西,换",4
170,"少,全额兑换",4
171,"少,奖品",5
172,"少,数量",4
173,"少,更新",4
174,"少,步步夺金",4
175,"少,比较",4
176,就是,15
177,平安,5
178,应该,5
179,建议,4
180,很多,6
181,怎么,5
182,想,7
183,慢,5
184,手机,4
185,才,4
186,才能,4
187,打不开,5
188,找,5
189,抢,8
190,抢不到,12
191,挺好,7
192,换,6
193,换购,5
194,改进,8
195,数量,12
196,"数量,不够",4
197,"数量,增加",9
198,"数量,增加,换购",9
199,"数量,换购",4
200,方面,17
201,时间,10
202,更新,13
203,步数,9
204,步步,4
205,步步夺金,32
206,"步步夺金,不准确",6
207,"步步夺金,东西",4
208,"步步夺金,太少",4
209,"步步夺金,奖品",4
210,"步步夺金,计步",6
211,"步步夺金,计步,不准确",4
212,每次,7
213,比较,6
214,没,19
215,没有,64
216,"没有,不好",14
217,"没有,不好,发现",5
218,"没有,不好,方面",5
219,"没有,不错",5
220,"没有,东西",5
221,"没有,东西,买",4
222,"没有,买",4
223,"没有,发现",14
224,"没有,发现,建议",4
225,"没有,商品",7
226,"没有,好",4
227,"没有,好的",4
228,"没有,如果,遇到",4
229,"没有,少",4
230,"没有,挺好",4
231,"没有,方面",6
232,"没有,时间",4
233,"没有,看",4
234,"没有,觉得",7
235,"没有,遇到",4
236,物品,6
237,直播,9
238,看,10
239,"看,直播",6
240,碎片,6
241,"碎片,集",5
242,礼品,8
243,老是,5
244,能,7
245,视频,4
246,觉得,10
247,计步,18
248,"计步,不准",5
249,"计步,不准确",12
250,"计步,不准确,需要",6
251,"计步,需要",5
252,计步器,6
253,记步,7
254,讲座,4
255,设置,4
256,质量,6
257,走步,4
258,软件,6
259,还好,5
260,还是,4
261,遇到,4
262,钱,7
263,问题,12
264,"问题,手机",6
265,"问题,还是",4
266,难,4
267,集,5
268,需要,10
269,"需要,改进",5
270,页面,10
271,"页面,找",7
